df2_No,df2_地区名,df2_施設名,df2_住所,df2_地震,df2_津波,df2_高潮,df2_洪水,df2_土砂,df2_z,共通ID,市町村,更新日
124,余土,さくら小学校,松山市余戸中4-11-1,○,○,○,△,○,7.84,E3820100629111,松山市,2025/1/16
125,余土,余土中学校,松山市保免西4-5-23,○,○,○,△,○,10.46,E3820100551111,松山市,2025/1/16
126,余土,椿中学校,松山市市坪南1-1-20,○,○,○,△,○,14.34,E3820100190111,松山市,2025/1/16
127,余土,余土保育園,松山市余戸東4-1-19,○,○,○,△,○,8.87,E3820100633111,松山市,2025/1/16
128,余土,余土公民館保免中分館,松山市保免中2-1-17,○,○,○,△,○,12.84,E3820100553111,松山市,2025/1/16
129,余土,余土公民館余戸中分館,松山市余戸中2-8-22,×,○,○,△,○,7.53,E3820100628111,松山市,2025/1/16
130,余土,余土公民館市坪分館,松山市市坪北1-3-13,○,○,○,×,○,13.2,E3820100191111,松山市,2025/1/16
131,由良,由良公民館,松山市由良町1048-2,○,×,△,○,△,2.4,E3820100622111,松山市,2025/1/16
132,由良,もものはなこども園,松山市由良町479,○,×,×,○,○,2.2,E3820100624111,松山市,2025/1/16
133,由良,由良小学校跡（体育館）,松山市由良町869,○,×,×,○,○,2.5,E3820100625111,松山市,2025/1/16
134,由良,由良公民館門田分館,松山市門田町地先,○,×,×,○,△,2.7,E3820100615111,松山市,2025/1/16
135,泊,泊公民館,松山市泊町818,○,×,×,○,○,3.3,E3820100497111,松山市,2025/1/16
136,泊,興居島小学校,松山市泊町甲425-3,○,×,×,○,○,3.2,E3820100499112,松山市,2025/1/16
137,泊,興居島小学校釣島分校,松山市泊町1465,○,×,×,○,○,1.9,E3820100494111,松山市,2025/1/16
138,泊,興居島中学校,松山市泊町甲425-3,○,×,△,○,○,3.4,E3820100499111,松山市,2025/1/16
139,泊,泊小学校跡,松山市泊町618-1,○,×,×,○,×,3.1,E3820100496111,松山市,2025/1/16
140,泊,泊公民館船越分館,松山市泊町1368先船越緑地,○,×,×,○,○,2.9,E3820100493111,松山市,2025/1/16
141,久米,久米公民館,松山市鷹子町823,○,○,○,△,○,40.26,E3820100342111,松山市,2025/1/16
142,久米,窪田小学校,松山市久米窪田町307,○,○,○,△,○,46.61,E3820100079111,松山市,2025/1/16
143,久米,北久米小学校,松山市福音寺町9,○,○,○,○,○,37.8,E3820100521111,松山市,2025/1/16
144,久米,福音小学校,松山市福音寺町355-1,○,○,○,○,○,31,E3820100520111,松山市,2025/1/16
145,久米,久米小学校,松山市鷹子町15-1,○,○,○,△,○,42.1,E3820100336111,松山市,2025/1/16
146,久米,久米中学校,松山市来住町689,○,○,○,△,○,38.59,E3820100641111,松山市,2025/1/16
147,久米,久米保育園,松山市鷹子町4-4,○,○,○,△,○,42.21,E3820100338111,松山市,2025/1/16
148,久米,久米公民館鷹子分館,松山市鷹子町632,○,○,○,△,○,48.37,E3820100340111,松山市,2025/1/16
149,久米,学校法人松山学院 松山学院高等学校（体育館）,松山市北久米町815,○,○,○,×,×,28.5,E3820100561111,松山市,2025/1/16
150,湯山,湯山公民館,松山市末町甲94-1,○,○,○,○,×,85.7,E3820100608111,松山市,2025/1/16
151,湯山,湯山小学校,松山市食場町甲128,○,○,○,○,△,76.3,E3820100255111,松山市,2025/1/16
152,湯山,湯山中学校,松山市溝辺町甲508-1,○,○,○,△,×,62.3,E3820100147111,松山市,2025/1/16
153,湯山,小百合保育園,松山市溝辺町甲528,○,○,○,×,○,61.3,E3820100148111,松山市,2025/1/16
154,湯山,湯山公民館宿野分館,松山市宿野町甲205,×,○,○,○,×,136.5,E3820100207111,松山市,2025/1/16
155,湯山,湯山公民館倉敷分館,松山市溝辺町甲286-4,○,○,○,×,○,51.9,E3820100144111,松山市,2025/1/16
156,湯山,溝辺ふれあいセンター,松山市溝辺町565-2,○,○,○,×,△,59.2,E3820100141111,松山市,2025/1/16
157,日浦,日浦公民館,松山市河中町甲346,○,○,○,○,○,270.3,E3820100046111,松山市,2025/1/16
158,日浦,日浦小学校,松山市河中町甲79-2,○,○,○,○,×,290.2,E3820100047111,松山市,2025/1/16
159,日浦,日浦中学校,松山市河中町188-1,○,○,○,○,○,277.3,E3820100045111,松山市,2025/1/16
160,日浦,日浦公民館藤野分館,松山市藤野町甲225-1,○,○,○,○,×,259.7,E3820100442111,松山市,2025/1/16
161,伊台,伊台公民館,松山市下伊台町1474-1,○,○,○,○,○,157.2,E3820100035111,松山市,2025/1/16
162,伊台,伊台小学校,松山市下伊台町1438-1,○,○,○,△,△,148.1,E3820100034111,松山市,2025/1/16
163,伊台,旭中学校,松山市下伊台町1105-1,○,○,○,△,○,142.8,E3820100031111,松山市,2025/1/16
164,伊台,伊台保育園,松山市下伊台町1493-1,○,○,○,○,○,152.7,E3820100036111,松山市,2025/1/16
165,伊台,伊台公民館伊台ハイツ分館,松山市下伊台町1278,○,○,○,○,○,161.6,E3820100032111,松山市,2025/1/16
166,伊台,伊台公民館本村分館,松山市上伊台町215-1,○,○,○,○,×,176.3,E3820100243111,松山市,2025/1/16
167,五明,五明公民館,松山市菅沢町甲247-1,○,○,○,○,△,310.7,E3820100274111,松山市,2025/1/16
