df2_No,df2_地区名,df2_施設名,df2_住所,df2_地震,df2_津波,df2_高潮,df2_洪水,df2_土砂,df2_z,共通ID
287,粟井,粟井保育園,松山市鹿峰63-2,○,○,○,○,○,10.6,E3820100202111
288,粟井,粟井公民館小川分館,松山市小川甲669-1,○,○,○,×,×,16.1,E3820100231111
289,粟井,粟井公民館磯河内分館,松山市磯河内甲372-4,○,○,○,○,○,8.8,E3820100017111
290,粟井,粟井公民館和田分館,松山市和田甲234-1,×,○,×,○,○,5.1,E3820100657111
291,粟井,久保集会所,松山市久保167,×,○,×,×,○,3.22,E3820100082111
292,粟井,粟井公民館粟井河原分館,松山市粟井河原245-3,○,×,×,○,○,2.5,E3820100003111
293,粟井,粟井公民館鹿峰分館,松山市鹿峰197-2,×,○,×,×,○,2.83,E3820100201111
294,粟井,粟井公民館本谷分館,松山市本谷甲343.344,○,○,○,○,×,35.7,E3820100603111
295,粟井,粟井公民館常竹分館,松山市常竹甲123-1,○,○,○,○,○,17.5,E3820100252111
296,粟井,粟井公民館西谷分館,松山市西谷甲381,×,○,○,○,×,57.2,E3820100295111
297,粟井,粟井公民館客分館,松山市客甲344-1,○,○,○,○,×,122.9,E3820100070111
298,粟井,粟井公民館麓分館,松山市麓甲407-4,○,○,○,○,○,102.8,E3820100647111
299,粟井,粟井公民館小川谷分館,松山市小川谷甲74,○,○,○,○,○,70.2,E3820100232111
300,睦野,睦月小学校,松山市睦月甲1068-6,○,×,△,○,△,2.8,E3820100592111
301,睦野,野忽那小学校,松山市野忽那甲1540-1,○,×,×,○,×,3.3,E3820100617111
302,睦野,中島公民館睦月分館,松山市睦月甲2194-1,×,×,×,○,○,2.5,E3820100593111
303,睦野,中島公民館野忽那分館,松山市野忽那甲1442-6,×,×,×,○,○,2.7,E3820100616111
304,東中島,中島総合文化センター,松山市中島大浦2962,○,○,○,○,△,7.9,E3820100368111
305,東中島,中島小学校,松山市長師564,○,○,○,○,△,6.3,E3820100385111
306,東中島,中島中学校,松山市長師817,○,○,○,○,○,9.7,E3820100386111
307,東中島,中島こども園,松山市中島大浦3021-1,○,×,×,○,○,1.8,E3820100369111
308,東中島,中島公民館大浦分館,松山市中島大浦1623-1,×,×,△,○,○,2.4,E3820100367111
309,東中島,中島公民館小浜集会所,松山市小浜甲558,○,×,×,○,○,2.8,E3820100235111
310,東中島,長師農村開発研修センター,松山市長師107-1,×,×,×,○,○,3.1,E3820100383111
311,東中島,中島公民館宮野分館,松山市宮野437,×,○,△,○,△,3.4,E3820100095111
312,東中島,神浦地域総合施設,松山市神浦753,○,×,×,○,○,2.8,E3820100265111
313,東中島,中島ふれあいセンター,松山市小浜甲1191,○,○,○,○,×,5.8,E3820100234111
314,東中島,中島Ｂ＆Ｇ海洋センター,松山市小浜甲1101-1,○,○,○,○,△,6.8,E3820100233111
315,東中島,松山北高等学校中島分校（体育館）,松山市中島大浦3100-1,○,○,×,○,○,4.1,E3820100370111
316,西中島,宇和間農林漁業体験実習館,松山市宇和間甲920-1,○,×,×,○,○,2.3,E3820100019111
317,西中島,熊田地域総合施設,松山市熊田甲713-3,○,×,×,○,×,2.3,E3820100104111
318,西中島,中島公民館吉木分館,松山市吉木甲1309-1,×,×,×,○,○,2.8,E3820100068111
319,西中島,中島公民館饒分館,松山市饒甲422-2,×,×,×,○,×,2.8,E3820100662111
320,西中島,畑里高齢者健康増進実習館,松山市畑里甲813,○,×,×,○,△,2.7,E3820100508111
321,西中島,中島公民館粟井分館,松山市中島粟井甲1235-1,×,○,×,○,○,3,E3820100365111
322,西中島,城山小学校跡,松山市中島粟井甲876,×,○,○,○,○,10.6,E3820100366111
323,神和,怒和小学校,松山市元怒和甲8-2,○,×,×,○,×,3.8,E3820100118111
324,神和,津和地小学校,松山市津和地1588-1,○,×,×,○,△,4.8,E3820100391111
325,神和,二神小学校,松山市二神甲227,○,×,×,○,○,4.4,E3820100477111
326,神和,元怒和保育所,松山市元怒和甲925-1,○,○,△,○,×,3.6,E3820100119111
327,神和,津和地保育所,松山市津和地420,○,×,×,○,×,3.8,E3820100392112
328,神和,中島公民館上怒和分館,松山市上怒和甲399-97,×,×,×,○,△,3.2,E3820100245111
329,神和,中島公民館元怒和分館,松山市元怒和甲1809-1,×,×,×,○,○,2.4,E3820100117111
330,神和,津和地多目的集会施設,松山市津和地420,○,×,×,○,×,3.7,E3820100392111
331,神和,中島公民館二神分館,松山市二神甲501,×,○,×,○,×,2.9,E3820100478111
