df2_No,df2_地区名,df2_施設名,df2_住所,df2_地震,df2_津波,df2_高潮,df2_洪水,df2_土砂,df2_z,共通ID
144,久米,福音小学校,松山市福音寺町355-1,○,○,○,○,○,31,E3820100520111
145,久米,久米小学校,松山市鷹子町15-1,○,○,○,△,○,42.1,E3820100336111
146,久米,久米中学校,松山市来住町689,○,○,○,△,○,38.59,E3820100641111
147,久米,久米保育園,松山市鷹子町4-4,○,○,○,△,○,42.21,E3820100338111
148,久米,久米公民館鷹子分館,松山市鷹子町632,○,○,○,△,○,48.37,E3820100340111
149,久米,学校法人松山学院 松山学院高等学校（体育館）,松山市北久米町815,○,○,○,×,×,28.5,E3820100561111
150,湯山,湯山公民館,松山市末町甲94-1,○,○,○,○,×,85.7,E3820100608111
151,湯山,湯山小学校,松山市食場町甲128,○,○,○,○,△,76.3,E3820100255111
152,湯山,湯山中学校,松山市溝辺町甲508-1,○,○,○,△,×,62.3,E3820100147111
153,湯山,小百合保育園,松山市溝辺町甲528,○,○,○,×,○,61.3,E3820100148111
154,湯山,湯山公民館宿野分館,松山市宿野町甲205,×,○,○,○,×,136.5,E3820100207111
155,湯山,湯山公民館倉敷分館,松山市溝辺町甲286-4,○,○,○,×,○,51.9,E3820100144111
156,湯山,溝辺ふれあいセンター,松山市溝辺町565-2,○,○,○,×,△,59.2,E3820100141111
157,日浦,日浦公民館,松山市河中町甲346,○,○,○,○,○,270.3,E3820100046111
158,日浦,日浦小学校,松山市河中町甲79-2,○,○,○,○,×,290.2,E3820100047111
159,日浦,日浦中学校,松山市河中町188-1,○,○,○,○,○,277.3,E3820100045111
160,日浦,日浦公民館藤野分館,松山市藤野町甲225-1,○,○,○,○,×,259.7,E3820100442111
161,伊台,伊台公民館,松山市下伊台町1474-1,○,○,○,○,○,157.2,E3820100035111
162,伊台,伊台小学校,松山市下伊台町1438-1,○,○,○,△,△,148.1,E3820100034111
163,伊台,旭中学校,松山市下伊台町1105-1,○,○,○,△,○,142.8,E3820100031111
164,伊台,伊台保育園,松山市下伊台町1493-1,○,○,○,○,○,152.7,E3820100036111
165,伊台,伊台公民館伊台ハイツ分館,松山市下伊台町1278,○,○,○,○,○,161.6,E3820100032111
166,伊台,伊台公民館本村分館,松山市上伊台町215-1,○,○,○,○,×,176.3,E3820100243111
167,五明,五明公民館,松山市菅沢町甲247-1,○,○,○,○,△,310.7,E3820100274111
168,五明,五明小学校,松山市菅沢町乙45-4,○,○,○,○,×,303.3,E3820100272112
169,五明,五明幼稚園,松山市菅沢町乙45-4,○,○,○,○,×,303.1,E3820100272111
170,五明,五明公民館菅沢分館,松山市菅沢町甲267-1,×,○,○,○,×,314.1,E3820100275111
171,小野,小野公民館,松山市北梅本町759,○,○,○,○,○,78.23,E3820100590111
172,小野,小野小学校,松山市平井町3673,○,○,○,△,○,80.15,E3820100533111
173,小野,小野中学校,松山市平井町3690,○,○,○,△,○,77.7,E3820100534111
174,小野,平井保育園,松山市平井町甲118,○,○,○,×,○,78.64,E3820100535111
175,小野,小野公民館小野谷分館,松山市小野町甲79,○,○,○,×,×,144.9,E3820100236111
176,小野,小野公民館太尺寺分館,松山市北梅本町6,×,○,○,○,○,107.6,E3820100589111
177,小野,小野公民館駄場分館,松山市北梅本町2631,×,○,○,×,○,109.9,E3820100587111
178,浮穴,浮穴公民館,松山市森松町469-6,○,○,○,△,○,30.69,E3820100259111
179,浮穴,浮穴小学校,松山市森松町832,○,○,○,△,○,35.2,E3820100261111
180,浮穴,南第二中学校,松山市森松町943,○,○,○,△,○,32.65,E3820100263111
181,浮穴,浮穴保育園,松山市南高井町1608-2,○,○,○,×,○,36.42,E3820100468111
182,浮穴,浮穴公民館井門分館,松山市井門町768,○,○,○,×,○,24.11,E3820100015111
